"Code","Description","Condition","Sub-condition"
"662K3","Angina control - worsening","Coronary heart disease","Unstable Angina"
"G3113","Refractory angina","Coronary heart disease","Unstable Angina"
"G3114","Worsening angina","Coronary heart disease","Unstable Angina"
"G311.","Preinfarction syndrome","Coronary heart disease","Unstable Angina"
"G3111","Unstable angina","Coronary heart disease","Unstable Angina"
"G3112","Angina at rest","Coronary heart disease","Unstable Angina"
"G311z","Preinfarction syndrome NOS","Coronary heart disease","Unstable Angina"
"G312.","Coronary thrombosis not resulting in myocardial infarction","Coronary heart disease","Unstable Angina"
"G31y0","Acute coronary insufficiency","Coronary heart disease","Unstable Angina"
"G3115","Acute coronary syndrome","Coronary heart disease","Unstable Angina"
