"Code","Description","Condition","Sub-condition"
"1593.","H/O: stress incontinence","Urinary Incontinence","Urinary Incontinence"
"16F..","Double incontinence","Urinary Incontinence","Urinary Incontinence"
"1A23.","Incontinence of urine","Urinary Incontinence","Urinary Incontinence"
"1A24.","Stress incontinence","Urinary Incontinence","Urinary Incontinence"
"1A26.","Urge incontinence of urine","Urinary Incontinence","Urinary Incontinence"
"3940.","Bladder: incontinent","Urinary Incontinence","Urinary Incontinence"
"7B338","Insertion of retropubic device for stress urinary incontinence NEC","Urinary Incontinence","Urinary Incontinence"
"7B33C","Insertion of retropubic device for female stress urinary incontinence NEC","Urinary Incontinence","Urinary Incontinence"
"7B421","Insertion of bulbar urethral prosthesis","Urinary Incontinence","Urinary Incontinence"
"8C14.","Incontinence care","Urinary Incontinence","Urinary Incontinence"
"8D71.","Incontinence control","Urinary Incontinence","Urinary Incontinence"
"8D7..","Urinary bladder control","Urinary Incontinence","Urinary Incontinence"
"8HTX.","Referral to incontinence clinic","Urinary Incontinence","Urinary Incontinence"
"K198.","Stress incontinence","Urinary Incontinence","Urinary Incontinence"
"K586.","Stress incontinence - female","Urinary Incontinence","Urinary Incontinence"
"Kyu5A","[X]Other specified urinary incontinence","Urinary Incontinence","Urinary Incontinence"
"R0831","[D]Urethral sphincter incontinence","Urinary Incontinence","Urinary Incontinence"
"R0832","[D] Urge incontinence","Urinary Incontinence","Urinary Incontinence"
"R083.","[D]Incontinence of urine","Urinary Incontinence","Urinary Incontinence"
"R083z","[D]Incontinence of urine NOS","Urinary Incontinence","Urinary Incontinence"
