"Category","System","Condition","Sub-condition","Sub-condition (synonym)","ReadV2","CTV3","ICD","OPCS"
"Physical","Benign Neoplasm/CIN","Benign neoplasm of brain and other parts of central nervous system","Benign neoplasm of brain and other parts of central nervous system","","readv2_5_benign_brain.csv","ctv3_benign_brain.csv","ICD_benign_brain.csv",""
"Physical","Cancers","Haematological malignancies","Haematological malignancy - other","","readv2_5_haem_other.csv","ctv3_haem_malig.csv","ICD_haem_other.csv",""
"Physical","Cancers","Haematological malignancies","Hodgkin Lymphoma","","readv2_5_hodgkins.csv","ctv3_haem_malig.csv","ICD_hodgkins.csv",""
"Physical","Cancers","Haematological malignancies","Leukaemia","","readv2_5_leukaemia.csv","ctv3_haem_malig.csv","ICD_leukaemia.csv",""
"Physical","Cancers","Haematological malignancies","Monoclonal gammopathy of undetermined significance (MGUS)","","readv2_5_MGUS.csv","ctv3_haem_malig.csv","ICD_MGUS.csv",""
"Physical","Cancers","Haematological malignancies","Multiple myeloma and malignant plasma cell neoplasms","Plasma Cell Malignancy ","readv2_5_plasmacell.csv","ctv3_haem_malig.csv","ICD_plasmacell.csv",""
"Physical","Cancers","Haematological malignancies","Myelodysplastic syndromes","","readv2_5_MDS.csv","ctv3_haem_malig.csv","ICD_MDS.csv",""
"Physical","Cancers","Haematological malignancies","Non-Hodgkin Lymphoma","","readv2_5_NHL.csv","ctv3_haem_malig.csv","ICD_NHL.csv",""
"Physical","Cancers","Haematological malignancies","Polycythaemia vera","","readv2_5_PCV.csv","ctv3_haem_malig.csv","ICD_PCV.csv",""
"Physical","Cancers","Non-melanoma skin malignancies","Primary Malignancy_Other Skin and subcutaneous tissue","Primary malignancy - skin","readv2_5_pri_skin.csv","ctv3_non_melanoma.csv","ICD_pri_skin.csv",""
"Physical","Cancers","Solid organ malignancies","Primary Malignancy_biliary tract","","readv2_5_pri_biliary.csv","ctv3_solid_organ_mal.csv","ICD_pri_biliary.csv",""
"Physical","Cancers","Solid organ malignancies","Primary Malignancy_Bladder","","readv2_5_pri_bladder.csv","ctv3_solid_organ_mal.csv","ICD_pri_bladder.csv",""
"Physical","Cancers","Solid organ malignancies","Primary Malignancy_Bone and articular cartilage","","readv2_5_pri_bone.csv","ctv3_solid_organ_mal.csv","ICD_pri_bone.csv",""
"Physical","Cancers","Solid organ malignancies","Primary Malignancy_Brain, Other CNS and Intracranial","","readv2_5_pri_brain.csv","ctv3_solid_organ_mal.csv","ICD_pri_brain.csv",""
"Physical","Cancers","Solid organ malignancies","Primary Malignancy_Breast","","readv2_5_pri_breast.csv","ctv3_solid_organ_mal.csv","ICD_pri_breast.csv",""
"Physical","Cancers","Solid organ malignancies","Primary Malignancy_Cervical","","readv2_5_pri_cervical.csv","ctv3_solid_organ_mal.csv","ICD_pri_cervical.csv",""
"Physical","Cancers","Solid organ malignancies","Primary Malignancy_colorectal and anus","Primary malignancy - bowel","readv2_5_pri_bowel.csv","ctv3_solid_organ_mal.csv","ICD_pri_bowel.csv",""
"Physical","Cancers","Solid organ malignancies","Primary Malignancy_Kidney and Ureter","","readv2_5_pri_kidney.csv","ctv3_solid_organ_mal.csv","ICD_pri_kidney.csv",""
